[2015-03-26 15:38:59.000000 127.0.0.1  - Unknown ] Missing argument 3 for Tags::form(), called in C:\wamp\www\webenolaphp\aplication\source\view\contribute.php on line 70 and defined
----------\n[2015-03-29 20:38:31.000000 ::1  - Unknown ] Trying to get property of non-object
----------\n[2015-03-29 20:38:31.000000 ::1  - Unknown ] Undefined property: AdminDoc::$relaciones
----------\n[2015-03-29 20:38:31.000000 ::1  - Unknown ] Undefined property: AdminDoc::$posts
----------\n[2015-03-29 20:38:31.000000 ::1  - Unknown ] Invalid argument supplied for foreach()
----------\n[2015-03-29 20:38:31.000000 ::1  - Unknown ] Undefined property: AdminDoc::$tags_rel
----------\n[2015-03-29 20:38:31.000000 ::1  - Unknown ] Undefined property: AdminDoc::$tags
----------\n[2015-03-29 20:38:31.000000 ::1  - Unknown ] Invalid argument supplied for foreach()
----------\n[2015-03-30 12:55:15.000000 127.0.0.1  - Error Fatal - Parse - Strict ] syntax error, unexpected '?'
----------\n[2015-03-30 13:08:31.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$mensaje
----------\n[2015-03-30 13:08:31.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$mensaje_error
----------\n[2015-03-30 13:08:31.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$post
----------\n[2015-03-30 13:08:31.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-03-30 13:08:31.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$post
----------\n[2015-03-30 13:08:31.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-03-30 13:11:07.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$mensaje
----------\n[2015-03-30 13:11:07.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$mensaje_error
----------\n[2015-03-30 13:11:07.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$post
----------\n[2015-03-30 13:11:07.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-03-30 13:11:07.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$post
----------\n[2015-03-30 13:11:07.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-03-30 13:11:58.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$mensaje
----------\n[2015-03-30 13:11:58.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$mensaje_error
----------\n[2015-03-30 13:11:58.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$post
----------\n[2015-03-30 13:11:58.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-03-30 13:11:58.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$post
----------\n[2015-03-30 13:11:58.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-03-30 13:12:40.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$mensaje
----------\n[2015-03-30 13:12:40.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$mensaje_error
----------\n[2015-03-30 13:12:40.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$post
----------\n[2015-03-30 13:12:40.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-03-30 13:12:40.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$post
----------\n[2015-03-30 13:12:40.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-03-30 13:13:06.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$mensaje
----------\n[2015-03-30 13:13:06.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$mensaje_error
----------\n[2015-03-30 13:13:06.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$post
----------\n[2015-03-30 13:13:06.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-03-30 13:13:06.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$post
----------\n[2015-03-30 13:13:06.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-03-30 13:14:41.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$post
----------\n[2015-03-30 13:14:41.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-03-30 13:14:41.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$post
----------\n[2015-03-30 13:14:41.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-03-30 13:15:03.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$post
----------\n[2015-03-30 13:15:03.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-03-30 13:15:47.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$doc
----------\n[2015-03-30 13:15:47.000000 127.0.0.1  - Error Fatal - Parse - Strict ] Class 'Validation' not found
----------\n[2015-03-30 13:16:02.000000 127.0.0.1  - Error Fatal - Parse - Strict ] Class 'Validation' not found
----------\n[2015-03-30 13:17:51.000000 127.0.0.1  - Unknown ] Call-time pass-by-reference has been deprecated
----------\n[2015-03-30 13:18:12.000000 127.0.0.1  - Unknown ] Call-time pass-by-reference has been deprecated
----------\n[2015-03-30 13:44:46.000000 127.0.0.1  - Unknown ] Undefined variable: doc
----------\n[2015-03-30 13:44:46.000000 127.0.0.1  - Unknown ] Undefined variable: doc
----------\n[2015-03-30 13:44:46.000000 127.0.0.1  - Unknown ] Undefined variable: doc
----------\n[2015-03-30 13:44:46.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-03-30 13:44:46.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-03-30 13:44:47.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-03-30 13:44:47.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-03-30 13:44:47.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-03-30 13:44:47.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-03-30 13:44:47.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-03-30 13:45:23.000000 127.0.0.1  - Unknown ] Undefined variable: cos
----------\n[2015-03-30 13:45:23.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$doc
----------\n[2015-03-30 13:45:23.000000 127.0.0.1  - Unknown ] get_object_vars() expects parameter 1 to be object, null given
----------\n[2015-03-30 13:45:23.000000 127.0.0.1  - Unknown ] Invalid argument supplied for foreach()
----------\n[2015-03-30 13:45:23.000000 127.0.0.1  - Unknown ] Invalid argument supplied for foreach()
----------\n[2015-03-30 13:45:40.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$doc
----------\n[2015-03-30 13:45:40.000000 127.0.0.1  - Unknown ] get_object_vars() expects parameter 1 to be object, null given
----------\n[2015-03-30 13:45:40.000000 127.0.0.1  - Unknown ] Invalid argument supplied for foreach()
----------\n[2015-03-30 13:45:40.000000 127.0.0.1  - Unknown ] Invalid argument supplied for foreach()
----------\n[2015-03-30 13:48:41.000000 127.0.0.1  - Unknown ] A non well formed numeric value encountered
----------\n[2015-03-30 13:48:41.000000 127.0.0.1  - Error Fatal - Parse - Strict ] Uncaught exception 'PDOException' with message 'SQLSTATE[42S22]: Column not found: 1054 Unknown column 'fechaActualizacion' in 'field list'' in C:\wamp\www\webenolaphp\framework\classes\En_DataBase.php:608
Stack trace:
#0 C:\wamp\www\webenolaphp\aplication\source\daos\DocDao.php(26): En_DataBase->insertObject('documentacion', Object(Doc))
#1 C:\wamp\www\webenolaphp\aplication\source\controllers\admin\AdminDoc.php(29): DocDao->addDoc(Object(Doc))
#2 C:\wamp\www\webenolaphp\framework\modules\http.php(125): AdminDoc->add()
#3 C:\wamp\www\webenolaphp\framework\core.php(195): execute_controller(Array)
#4 C:\wamp\www\webenolaphp\index.php(31): require('C:\wamp\www\web...')
#5 {main}
  thrown
----------\n[2015-03-30 13:53:01.000000 127.0.0.1  - Unknown ] Undefined property: En_HttpRequest::$method
----------\n[2015-03-30 13:53:01.000000 127.0.0.1  - Unknown ] Undefined property: AdminDoc::$doc
----------\n[2015-03-30 13:53:01.000000 127.0.0.1  - Error Fatal - Parse - Strict ] Class 'Validation' not found
----------\n[2015-03-30 14:11:22.000000 127.0.0.1  - Unknown ] Undefined variable: filtro
----------\n[2015-03-30 14:11:22.000000 127.0.0.1  - Error Fatal - Parse - Strict ] Unsupported operand types
----------\n[2015-03-30 14:11:32.000000 127.0.0.1  - Unknown ] Undefined variable: filtro
----------\n[2015-03-30 14:17:12.000000 127.0.0.1  - Error Fatal - Parse - Strict ] Class 'Paginator' not found
----------\n[2015-03-30 14:36:03.000000 127.0.0.1  - Error Fatal - Parse - Strict ] Call to undefined method En_DataBase::getInObjects()
----------\n[2015-03-30 14:39:45.000000 127.0.0.1  - Unknown ] Undefined variable: search
----------\n[2015-03-30 15:15:54.000000 127.0.0.1  - The HTTP method actualizar is not supported ] general_error
----------\n[2015-03-30 15:16:41.000000 127.0.0.1  - Unknown ] Undefined variable: search
----------\n[2015-03-30 15:16:41.000000 127.0.0.1  - Unknown ] Undefined variable: search
----------\n[2015-03-30 15:16:41.000000 127.0.0.1  - Unknown ] Undefined variable: search
----------\n[2015-03-30 15:17:13.000000 127.0.0.1  - The HTTP method add is not supported ] general_error
----------\n[2015-03-30 15:17:45.000000 127.0.0.1  - Unknown ] Undefined variable: search
----------\n[2015-03-30 15:17:45.000000 127.0.0.1  - Unknown ] Undefined variable: search
----------\n[2015-03-30 15:17:45.000000 127.0.0.1  - Unknown ] Undefined variable: search
----------\n[2015-03-30 15:19:25.000000 127.0.0.1  - Unknown ] Undefined variable: search
----------\n[2015-03-30 15:19:25.000000 127.0.0.1  - Unknown ] Undefined variable: search
----------\n[2015-03-30 15:19:25.000000 127.0.0.1  - Unknown ] Undefined variable: search
----------\n[2015-04-06 18:56:44.000000 127.0.0.1  - Unknown ] include(C:\wamp\www\webenolaphp\aplication/source/view/documentation_home.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory
----------\n[2015-04-06 18:56:44.000000 127.0.0.1  - Unknown ] include() [<a href='function.include'>function.include</a>]: Failed opening 'C:\wamp\www\webenolaphp\aplication/source/view/documentation_home.php' for inclusion (include_path='.;C:\php\pear')
----------\n[2015-04-06 19:04:10.000000 127.0.0.1  - Unknown ] Undefined variable: doc
----------\n[2015-04-06 19:04:10.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-04-06 19:13:31.000000 127.0.0.1  - Unknown ] Undefined index: documentation
----------\n[2015-04-06 19:13:31.000000 127.0.0.1  - Unknown ] Invalid argument supplied for foreach()
----------\n[2015-04-06 19:23:22.000000 127.0.0.1  - Unknown ] Undefined variable: doc
----------\n[2015-04-06 19:23:22.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-04-06 19:23:40.000000 127.0.0.1  - Unknown ] Undefined variable: doc
----------\n[2015-04-06 19:23:40.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-04-06 19:23:42.000000 127.0.0.1  - Unknown ] Undefined variable: doc
----------\n[2015-04-06 19:23:42.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-04-06 19:25:32.000000 127.0.0.1  - Unknown ] Undefined variable: doc
----------\n[2015-04-06 19:25:32.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-04-06 19:25:41.000000 127.0.0.1  - Unknown ] Undefined variable: doc
----------\n[2015-04-06 19:25:41.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-04-06 19:59:11.000000 127.0.0.1  - Unknown ] Undefined property: Doc::$title
----------\n[2015-04-06 19:59:11.000000 127.0.0.1  - Unknown ] Undefined property: Doc::$title
----------\n[2015-04-06 20:03:45.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-04-06 20:03:45.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-04-06 20:04:03.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-04-06 20:04:03.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-04-06 20:04:07.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-04-06 20:04:07.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-04-06 20:04:10.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-04-06 20:04:10.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-04-06 20:04:12.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-04-06 20:04:12.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-04-06 20:04:49.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n[2015-04-06 20:04:49.000000 127.0.0.1  - Unknown ] Trying to get property of non-object
----------\n
